АВС/ DEF;От;До;Емкость;Оператор;Регион
813;6733200;6734099;900;Ростелеком;Тихвинский |Ленинградская область
813;6734100;6734109;10;Ростелеком;Тихвинский |Ленинградская область
813;6734110;6734159;50;Ростелеком;Тихвинский |Ленинградская область
813;6734160;6734199;40;Ростелеком;Тихвинский |Ленинградская область
813;6734200;6734427;228;Ростелеком;Тихвинский |Ленинградская область
813;6734490;6734499;10;Нэт Бай Нэт Холдинг;Тихвин |Ленинградская область
813;6734500;6734599;100;Ростелеком;Тихвин |Ленинградская область
813;6734600;6734609;10;Ростелеком;Тихвинский |Ленинградская область
813;6734610;6734659;50;Ростелеком;Тихвинский |Ленинградская область
813;6734660;6736159;1500;МегаФон;Тихвинский |Ленинградская область
813;6736210;6736259;50;ЛЭИВО;Тихвин |Ленинградская область
813;6737100;6737599;500;Ростелеком;Тихвинский |Ленинградская область
813;6737600;6738099;500;МегаФон;Тихвинский |Ленинградская область
813;6738100;6738399;300;Ростелеком;Тихвинский |Ленинградская область
813;6739100;6739399;300;Ростелеком;Тихвинский |Ленинградская область
813;6741100;6741109;10;Ростелеком;Тихвин |Ленинградская область
813;6741110;6741299;190;Ростелеком;Тихвинский |Ленинградская область
813;6741510;6741699;190;Ростелеком;Тихвинский |Ленинградская область
813;6742000;6743299;1300;Ростелеком;Тихвинский |Ленинградская область
813;6744000;6744999;1000;Ростелеком;Тихвинский |Ленинградская область
813;6745100;6745199;100;Ростелеком;Тихвинский |Ленинградская область
813;6745300;6745309;10;Ростелеком;Тихвинский |Ленинградская область
813;6745310;6745759;450;Ростелеком;Тихвинский |Ленинградская область
813;6745760;6745799;40;Ростелеком;Тихвинский |Ленинградская область
813;6746100;6746399;300;Ростелеком;Тихвинский |Ленинградская область
813;6746400;6746499;100;Ростелеком;Тихвинский |Ленинградская область
813;6746710;6746759;50;Ростелеком;Тихвинский |Ленинградская область
813;6748000;6748099;100;МегаФон;Тихвин |Ленинградская область
813;6748100;6748299;200;Ростелеком;Тихвинский |Ленинградская область
813;6748300;6748399;100;Ростелеком;Тихвин |Ленинградская область
813;6748400;6748899;500;Ростелеком;Тихвинский |Ленинградская область
813;6748900;6748999;100;Ростелеком;Тихвинский |Ленинградская область
813;6749000;6749999;1000;Вымпел-Коммуникации;Тихвин |Ленинградская область
813;6750000;6759999;10000;Ростелеком;Тихвин |Ленинградская область
813;6760000;6761023;1024;Ростелеком;Тихвинский |Ленинградская область
813;6761024;6761123;100;Ростелеком;Тихвин |Ленинградская область
813;6761124;6768999;7876;Петербург Транзит Телеком;Тихвинский |Ленинградская область
813;6769000;6799999;31000;Ростелеком;Тихвинский |Ленинградская область
813;6800000;6819999;20000;Ростелеком;Киришский |Ленинградская область
813;6820000;6834999;15000;Ростелеком;Кириши |Ленинградская область
813;6840000;6840999;1000;Вымпел-Коммуникации;Кириши |Ленинградская область
813;6841000;6841599;600;Ростелеком;Кириши |Ленинградская область
813;6842600;6842999;400;Ростелеком;Киришский |Ленинградская область
813;6843000;6844319;1320;Ростелеком;Кириши |Ленинградская область
813;6845000;6846999;2000;"Производственное объединение ""Киришинефтеоргсинтез";Киришский |Ленинградская область
813;6847000;6847099;100;Вымпел-Коммуникации;Кириши |Ленинградская область
813;6849000;6849999;1000;Вымпел-Коммуникации;Кириши |Ленинградская область
813;6850000;6850009;10;Ростелеком;Киришский |Ленинградская область
813;6851000;6851559;560;Ростелеком;Кириши |Ленинградская область
813;6851576;6856119;4544;Ростелеком;Кириши |Ленинградская область
813;6858000;6858751;752;Ростелеком;Кириши |Ленинградская область
813;6858760;6859751;992;Ростелеком;Кириши |Ленинградская область
813;6859760;6859999;240;Ростелеком;Кириши |Ленинградская область
813;6860000;6869999;10000;Ростелеком;Киришский |Ленинградская область
813;6871100;6871899;800;Ростелеком;Киришский |Ленинградская область
813;6872000;6872527;528;Ростелеком;Киришский |Ленинградская область
813;6873000;6873999;1000;Ростелеком;Киришский |Ленинградская область
813;6874100;6874109;10;Ростелеком;Киришский |Ленинградская область
813;6874110;6874159;50;Ростелеком;Киришский |Ленинградская область
813;6874160;6874209;50;Ростелеком;Киришский |Ленинградская область
813;6874210;6874259;50;Ростелеком;Киришский |Ленинградская область
813;6874260;6874299;40;Ростелеком;Киришский |Ленинградская область
813;6874300;6874399;100;Российские железные дороги;Киришский |Ленинградская область
813;6874400;6874499;100;Ростелеком;Киришский |Ленинградская область
813;6874500;6874509;10;Ростелеком;Киришский |Ленинградская область
813;6874510;6874559;50;Ростелеком;Киришский |Ленинградская область
813;6874560;6874609;50;Ростелеком;Киришский |Ленинградская область
813;6874610;6874659;50;Ростелеком;Киришский |Ленинградская область
813;6874660;6874709;50;Ростелеком;Киришский |Ленинградская область
813;6874710;6874759;50;Ростелеком;Киришский |Ленинградская область
813;6874760;6874799;40;Ростелеком;Киришский |Ленинградская область
813;6874800;6874899;100;Ростелеком;Киришский |Ленинградская область
813;6875100;6875499;400;Ростелеком;Киришский |Ленинградская область
813;6876300;6876499;200;Ростелеком;Киришский |Ленинградская область
813;6880000;6889999;10000;Ростелеком;Киришский |Ленинградская область
813;6890000;6890999;1000;Вымпел-Коммуникации;Киришский |Ленинградская область
813;6891000;6891999;1000;"Производственное объединение ""Киришинефтеоргсинтез";Киришский |Ленинградская область
813;6893100;6893399;300;Ростелеком;Кириши |Ленинградская область
813;6893400;6893699;300;Ростелеком;Киришский |Ленинградская область
813;6893700;6893899;200;Ростелеком;Кириши |Ленинградская область
813;6893900;6893999;100;Северен-Телеком;Кириши |Ленинградская область
813;6894300;6894999;700;Ростелеком;Киришский |Ленинградская область
813;6895200;6895599;400;Российские железные дороги;Кириши |Ленинградская область
813;6896000;6896199;200;Ростелеком;Кириши |Ленинградская область
813;6896200;6896259;60;Связь объектов транспорта и добычи нефти;Кириши |Ленинградская область
813;6896260;6896269;10;Нэт Бай Нэт Холдинг;Кириши |Ленинградская область
813;6896300;6896339;40;Связь объектов транспорта и добычи нефти;Кириши |Ленинградская область
813;6896340;6896370;31;Ростелеком;Кириши |Ленинградская область
813;6896550;6896699;150;МегаФон;Кириши |Ленинградская область
813;6896700;6896799;100;Ростелеком;Кириши |Ленинградская область
813;6896800;6896899;100;Ростелеком;Киришский |Ленинградская область
813;6896900;6896999;100;Ростелеком;Кириши |Ленинградская область
813;6897000;6897999;1000;"Производственное объединение ""Киришинефтеоргсинтез";Киришский |Ленинградская область
813;6898000;6899999;2000;"Производственное объединение ""Киришинефтеоргсинтез";Киришский |Ленинградская область
813;6900000;6919999;20000;Ростелеком;Ломоносовский |Ленинградская область
813;6920000;6929999;10000;Ростелеком;Сосновый Бор |Ленинградская область
813;6930000;6932999;3000;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6933000;6933099;100;Ростелеком;Сосновый Бор |Ленинградская область
813;6933100;6934999;1900;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6935000;6936999;2000;Ростелеком;Сосновый Бор |Ленинградская область
813;6937000;6937199;200;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6937200;6937410;211;Ростелеком;Сосновый Бор |Ленинградская область
813;6937500;6937599;100;Ростелеком;Сосновый Бор |Ленинградская область
813;6937600;6937999;400;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6938000;6938199;200;Ростелеком;Сосновый Бор |Ленинградская область
813;6938200;6939999;1800;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6940000;6949999;10000;Ростелеком;Сосновый Бор |Ленинградская область
813;6950000;6950999;1000;Петербург Транзит Телеком;Ломоносовский |Ленинградская область
813;6951000;6951999;1000;Ростелеком;Сосновый Бор |Ленинградская область
813;6952000;6952999;1000;Петербург Транзит Телеком;Ломоносовский |Ленинградская область
813;6953000;6955999;3000;Ростелеком;Сосновый Бор |Ленинградская область
813;6956000;6958999;3000;Ростелеком;Сосновый Бор |Ленинградская область
813;6959000;6959999;1000;Петербург Транзит Телеком;Ломоносовский |Ленинградская область
813;6960000;6960099;100;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6960100;6960199;100;Научно-исследовательский технологический институт имени А.П.Александрова;Сосновый Бор |Ленинградская область
813;6960200;6960299;100;ИНФОЦЕНТР;Сосновый Бор |Ленинградская область
813;6960300;6960949;650;Научно-исследовательский технологический институт имени А.П.Александрова;Сосновый Бор |Ленинградская область
813;6960950;6961899;950;Ростелеком;Сосновый Бор |Ленинградская область
813;6961900;6961999;100;Перспектива;Сосновый Бор |Ленинградская область
813;6962000;6962999;1000;Ростелеком;Сосновый Бор |Ленинградская область
813;6963000;6966099;3100;ВЕСТ КОЛЛ ЛТД;Сосновый Бор |Ленинградская область
813;6966100;6966199;100;Северен-Телеком;Ломоносов |Ломоносовский |Ленинградская область
813;6966200;6966299;100;Ростелеком;Сосновый Бор |Ленинградская область
813;6966300;6966499;200;ВЕСТ КОЛЛ ЛТД;Сосновый Бор |Ленинградская область
813;6966500;6966599;100;Ростелеком;Сосновый Бор |Ленинградская область
813;6966600;6966699;100;ВЕСТ КОЛЛ ЛТД;Сосновый Бор |Ленинградская область
813;6966700;6966999;300;Ростелеком;Сосновый Бор |Ленинградская область
813;6967000;6967099;100;ВЕСТ КОЛЛ ЛТД;Сосновый Бор |Ленинградская область
813;6967100;6967199;100;Северн. управление строит;Сосновый Бор |Ленинградская область
813;6967200;6967299;100;Северн. управление строит;Сосновый Бор |Ленинградская область
813;6967300;6967399;100;Северн. управление строит;Сосновый Бор |Ленинградская область
813;6967400;6967499;100;Северн. управление строит;Сосновый Бор |Ленинградская область
813;6967500;6967999;500;ВЕСТ КОЛЛ ЛТД;Сосновый Бор |Ленинградская область
813;6968000;6968099;100;Ростелеком;Сосновый Бор |Ленинградская область
